N,Nom_ZC,Perte annuelle (ha) (2001-2024),,BABAMA,MOLOKAY,SALATE,EBIANE,MAMOPI,EPULU,EBOYO_BAPUKELI,BADENGAIDO,SETI_UTAMA___ZUNGULUKA,COMBONI,BANDISENDE,EKWE,AKOKORA,BUKULANI,NDUYE,MALEMBI,BAMARO,DINGBO,NZARO,ALAMBI,UEKOMBA,BUNGU,BABESUA,ANDAGUKODU,APANA,AMBANZANI,FIOWE,MASTINGA,BEDEGAO,,
21.0,UEKOMBA,30.80495898749999,2021.0,26.6924581653,16.1396258674,18.3898621662,5.354010504100001,2.0174532334,9.8544831017,32.7448178656,404.9649394323,134.8589892189,17.9242960354,133.5398851817,23.1231178292,25.916514614,21.4160420163,8.612973419600001,24.2094388011,6.1299540554,7.4490580926,4.733255663,3.4141516258,0.6983491962,6.517925831099999,36.1589694914,7.7594355132,0.6983491962,9.0009451953,16.2172202225,33.8311388374,19.0106170073,,
22.0,BUNGU,154.1799836468,2022.0,24.752599287,20.1745323342,62.2306728156,13.3462290827,1.8622645232,37.7884509491,18.0018903906,410.3965442916,154.7231441326,30.029015436,143.5495569936,45.93585823799999,18.5450508765,50.9018969664,41.823357416,48.10850018169999,11.7167476249,24.5198162216,9.7768887466,20.5625041099,4.5004725976,8.4577847094,20.8728815304,58.0405776385,14.8205218302,50.4363308356,11.4063702044,42.8320840327,12.2599081108,,
23.0,BABESUA,474.1791042096,2023.0,9.3113226158,24.2094388011,75.9648736739,5.8195766349,0.0,31.813685604,21.1056645958,358.5635150636,115.5379947911,26.3044863896,96.99294391459999,60.98916313350001,13.579012148,72.5507220481,18.7778339419,18.4674565213,9.6217000363,7.7594355132,14.5877387648,6.2851427657,1.163915327,1.3966983924,60.2132195822,30.2617985014,6.9834919619,29.48585495,21.9592025023,18.2346734559,32.8224122207,,
24.0,ANDAGUKODU,686.2444767846999,2024.0,14.1997669891,19.7865605586,54.5488316576,18.4674565213,6.517925831099999,34.5294880336,21.9592025023,329.93119802,68.360626871,25.9941089691,212.9189104814,49.505198574,16.6827863533,99.6311519891,14.1997669891,41.2801969301,15.2084936058,16.0620315123,12.4150968211,10.3200492325,9.0785395504,10.630426653,64.248126049,62.7738333015,13.579012148,45.6254808174,3.5693403361,52.91935019979999,16.1396258674,,
25.0,APANA,167.83659015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,AMBANZANI,512.5883099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,FIOWE,248.0691533562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,MASTINGA,392.7050313214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,BEDEGAO,245.8189170574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Okapi_2025,1742.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
