code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
1374,2012-10-10T00:00:00Z,2010-08-24T00:00:00Z,12db8d01-2430-403e-b0ab-fb314ae4935d,{5D99D2FD-D1C5-4C76-982C-ACF60F391EAE},2010,LONCOR RESOURCES CONGO Sprl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, Wolfram",309813924.0274475,77925.48440000415,Actif-En Force Majeure,30542,PR (AS)
1375,2012-10-10T00:00:00Z,2008-10-24T00:00:00Z,5b1b3f75-1715-4ab8-a66c-ee93652d14e6,{160653A3-C257-45E0-8A85-EAC7D8AB6C5D},2011,LONCOR RESOURCES CONGO Sprl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, Wolfram",395873713.39249605,79780.58160000294,Actif-En Force Majeure,39026,PR (AS)
1376,2012-10-10T00:00:00Z,2008-08-24T00:00:00Z,2c1b021f-9203-42a0-b2cf-fa8f582aff75,{13BB4ADD-DB48-494E-B660-E76D7A1F13BF},2012,LONCOR RESOURCES CONGO Sprl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, Wolfram",98107594.67772377,70503.84399999678,Actif-En Force Majeure,9672,PR (AS)
1714,2013-12-27T00:00:00Z,2009-03-10T00:00:00Z,67360990-fedf-4bf9-9e8c-dc3c653dc7b2,{C3B41DFE-8ACF-476A-99DF-D8433872AAC7},2093,BANRO CONGO MINING Sarl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta",120484185.35797954,66793.1338,Actif-En Force Majeure,11877,PR (AS)
1715,2013-12-27T00:00:00Z,2009-03-10T00:00:00Z,b3002a8f-6efa-4f91-a8e5-e6a677959154,{53733A2F-E3A9-4CAB-93A5-0B23EE7B6860},2094,BANRO CONGO MINING Sarl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, Wolfram",393292174.4929621,79780.60400000215,Actif-En Force Majeure,38771,PR (AS)
1716,2013-12-27T00:00:00Z,2009-03-10T00:00:00Z,2b51f3eb-7260-46cf-ba77-057dda9f5866,{22D3683B-D734-41C5-843F-F727F942ED04},2095,BANRO CONGO MINING Sarl,"Ag, Au, Co, Cu, Nb, Pt, Sn, Ta, Wolfram",395873713.39249605,79780.58160000294,Actif-En Force Majeure,39026,PR (AS)
1800,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,9ddfbac9-3966-4e25-a74c-e00b129f6e60,{9E73F922-DAEF-4ACD-AE24-45FD1582D594},2119,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",169628230.5240285,85364.20160000771,Actif-En cours de Cession Totale,16722,PR (AS)
1801,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,13e43c93-f162-47a4-a963-5e51636ac765,{C91E0796-8D0E-474F-AB4D-D8A47635971E},2120,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",173920147.86864534,150316.57299999893,Actif-En cours de Cession Totale,17145,PR (AS)
1802,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,036e0926-b416-4ce9-9ea7-c024d769d52e,{22AA79CD-85BC-4475-9279-CB4FD532A95E},2121,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",164436537.82177565,122473.7797999978,Actif-En cours de Cession Totale,16210,PR (PP)
1803,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,e41f4809-b6bc-42b6-a54f-33d0fba2d05d,{ACA27980-E6B6-4E39-9A9B-603B16CC6121},2122,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",184228396.67313668,81648.29500000179,Actif-En cours de Cession Totale,18162,PR (AS)
1804,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,d37ddeb0-30d9-4fe4-bd57-6e7bf63d4612,{7514FCAF-7340-471E-911F-557CCC45F9C1},2123,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",124850776.6096383,59386.3273999989,Actif-En cours de Cession Totale,12308,PR (AS)
1805,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,125f83c6-a67e-4c81-a56f-12718c2e6e18,{04AC093E-D0D2-4BE5-AE16-6BEB2C4591D0},2124,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",176502400.0998427,83507.08380000293,Actif-En cours de Cession Totale,17400,PR (AS)
1806,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,5251899f-1d8a-4edf-8ed8-dda23e2bb445,{97E3BF8A-2B54-4779-9553-8CDB9D0AA75E},2125,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",86954145.18490107,46395.21620000154,Actif-En cours de Cession Totale,8572,PR (AS)
1807,2017-02-09T00:00:00Z,2012-02-10T00:00:00Z,8aeb4898-3ed1-438d-8a01-ba71d01ebf5a,{6C126B96-DB49-4B93-91F5-97152045419D},2126,RIO TINTO EXPLORATION DRC ORIENTALE SPRL,"Au, Cu, Fe, Pb, Zn",119662061.4457982,59380.75959999859,Actif-En cours de Cession Totale,11796,PR (AS)
2228,2012-02-04T00:00:00Z,2007-02-05T00:00:00Z,d068c3c8-5bb4-4cd9-b9e9-112fdc85a724,{5870B101-43C5-49D5-92FD-8870D0FE91C9},2219,KGL-ERW Sprl,"Ag, Au, Nb, Ta",397873001.8546047,83515.92779999971,Radiation en cours,39223,PR (AS)
2229,2017-02-04T00:00:00Z,2012-02-05T00:00:00Z,2e2ca0c7-2c88-40c7-85b2-9a9d4ec758ef,{BE0A980D-3645-47CC-8B6F-9716FF1013C6},2220,SOCIETE KWR IRON SPRL,"Ag, Au, Fe, Nb, Ta",127455922.47399071,64957.14479999989,Actif-En cours de Cession Totale,12565,PR (AS)
