code,date_de1,date_do,gfwid,globalid,objectid,parties,resource,shape_Area,shape_Length,statut,sup_sig_ha,type
ZRG02516,,,f3e55d29-2bf3-4cc8-b480-3e7bcb47a936,{D0BAEC42-06EA-47EB-8C9D-3A0BF7043105},6970,Projet Recherches Géologiques,Al,14632757.731224671,16700.434200003743,Actif,1443,ZRG
ZRG02517,,,5b032a8c-b9d6-4ba5-80c2-1615b39156e0,{60619ACA-233F-42D1-9EB9-C84EF495CBFF},6971,Projet Recherches Géologiques,Au,30985783.93768855,22265.9504000023,Actif,3055,ZRG
ZRG02518,,,c190ba10-b78c-4300-bd40-d38eedbbf937,{F811E696-8EB1-484C-A468-3CD8E147EAEF},6972,Projet Recherches Géologiques,Al,15492741.965832315,16698.89580000192,Actif,1527,ZRG
ZRG02523,,,5323615e-5dab-48ee-a0e9-ee3574cd6249,{1C0E99FD-464D-4009-9EF8-C665B7D18E63},6975,Projet Recherches Géologiques,Au,30984871.67453843,22265.622599996626,Actif,3055,ZRG
ZRG02579,,,cdf30356-c091-4f18-a54c-a65d2705030b,{E959BE51-42B7-4926-BB2B-A3278A6B2118},7030,Projet Recherches Géologiques,Al,30986496.939003054,22266.206599995494,Actif,3055,ZRG
ZRG02580,,,dbf9ad11-6768-4ff9-9578-c923f6ab9eec,{CB2B401D-00B6-4B10-942B-E5C710FF1A33},7031,Projet Recherches Géologiques,Au,13772148.2571019,16700.53859999776,Actif,1358,ZRG
ZRG02587,,,f33a1d15-b2f2-4649-acf4-a850dcf2c433,{73E3E04E-D2C7-40F5-A370-9769BD526FE7},7038,Projet Recherches Géologiques,Al,29266871.0578094,22266.91319999844,Actif,2885,ZRG
ZRG02588,,,41f447f4-dd65-481b-a1b6-361931b8ab60,{F06BFAE9-BF92-41D0-99AD-67FC6022AB7D},7039,Projet Recherches Géologiques,Al,30984871.117845338,22265.62239999324,Actif,3055,ZRG
ZRG02637,,,9cceaeac-956a-44d9-b61c-6e87d9b42c90,{B9B4C336-EDC6-40CF-B832-C72990320E23},7087,Projet Recherches Géologiques,Au,30986681.729353573,22266.272999994457,Actif,3055,ZRG
ZRG02651,,,7895a092-d492-4a0e-8a11-0b6d525c725b,{6AC37E8A-5059-4117-AF26-964EAEC1EA87},7101,Projet Recherches Géologiques,Al,30988359.87083528,22266.876000002027,Actif,3055,ZRG
ZRG02652,,,98aea301-dc56-424e-8100-f2475061d0e5,{1647B098-3236-4A28-986D-37EDDC9E9F90},7102,Projet Recherches Géologiques,Al,30986589.890933383,22266.24000001,Actif,3055,ZRG
ZRG02653,,,c8706a3b-cf0a-4869-8a46-9341b53322c2,{14843190-C471-4B2C-9361-F72F11341411},7103,Projet Recherches Géologiques,Al,30985784.494377308,22265.950599998236,Actif,3055,ZRG
ZRG02656,,,67309ace-a6fa-4628-9045-4a01e9652518,{0E318194-C484-4D9F-83AB-199817A959CA},7106,Projet Recherches Géologiques,Al,30985276.320899084,22265.767999999225,Actif,3055,ZRG
ZRG02679,,,944e5b00-fc83-4461-9dd5-1684b529ec0f,{634C6322-64D2-46F6-962A-D3AC734EAEA5},7129,Projet Recherches Géologiques,Diamant,84399311.35472758,66806.11739999801,Actif,8320,ZRG
ZRG02680,,,7333aa5b-202b-4dd5-8a52-38a725315a1d,{FB9A2C09-E05B-4DDF-AFC0-9E7C5CA9D611},7130,Projet Recherches Géologiques,"Au, Diamant",261811638.54194215,74232.90579999983,Actif,25810,ZRG
ZRG02682,,,bd882806-9ad5-4557-8c55-a7ba2e09da20,{F6AB7772-9BEC-416F-8BBD-18E4C871F433},7132,Projet Recherches Géologiques,"Au, Diamant",129179698.38662389,46398.31920000166,Actif,12735,ZRG
ZRG02832,,,4ac46468-1acc-407a-a4f9-7e9c2acded09,{5C1E0950-94EE-4536-8FF5-B0ECC6A856CE},7308,Projet Recherches Géologiques,"Ag, Au, Cr, Nb, Sn, Ta",388452275.47814864,79818.09880000353,Actif,38294,ZRG
